,,Jennifer Ann Kiggans,Elaine G. Luria,Write-Ins,Total Votes Cast,Undervotes
,,Republican,Democratic,,,
Congressional District,2,153328,143219,442,296989,0
Locality,Accomack County,7604,5569,15,13188,0
Precinct,##ev - Central Absentee Precinct,1484,2283,2,3769,0
Precinct,##pe - Central Absentee Precinct,5,15,0,20,0
Precinct,101 - Chincoteague,986,368,2,1356,0
Precinct,201 - Atlantic,387,94,1,482,0
Precinct,202 - Greenbackville,615,193,1,809,0
Precinct,301 - New Church,421,303,0,724,0
Precinct,401 - Bloxom,335,84,1,420,0
Precinct,402 - Parksley,338,136,0,474,0
Precinct,403 - Saxis,133,36,1,170,0
Precinct,501 - Mappsville,163,139,0,302,0
Precinct,502 - Rue,102,123,0,225,0
Precinct,601 - Accomac,421,153,1,575,0
Precinct,602 - Tangier,173,25,1,199,0
Precinct,701 - Nandua,539,241,1,781,0
Precinct,801 - Bobtown,255,113,0,368,0
Precinct,802 - Melfa,254,193,2,449,0
Precinct,803 - Wachapreague,281,79,0,360,0
Precinct,901 - Painter,480,441,0,921,0
Precinct,Ab - Central Absentee Precinct,191,506,2,699,0
Precinct,Provisional,41,44,0,85,0
Locality,Chesapeake City,30241,22511,78,52830,0
Precinct,##ev - Central Absentee Precinct,8702,7868,24,16594,0
Precinct,##pe - Central Absentee Precinct,102,249,0,351,0
Precinct,1 - Great Bridge,634,277,0,911,0
Precinct,2 - Bethel,952,180,2,1134,0
Precinct,6 - Deep Creek,467,392,3,862,0
Precinct,7 - Greenbrier,479,311,1,791,0
Precinct,9 - Bells Mill,1022,412,1,1435,0
Precinct,14 - Grassfield,628,342,1,971,0
Precinct,16 - Hickory Grove,989,297,5,1291,0
Precinct,17 - Indian Creek,809,208,1,1018,0
Precinct,23 - Oak Grove,496,456,1,953,0
Precinct,28 - Sunray I,159,77,0,236,0
Precinct,34 - Hickory Middle School,1007,344,0,1351,0
Precinct,36 - Great Bridge Baptist Church,701,302,3,1006,0
Precinct,37 - Bridgetown,698,381,1,1080,0
Precinct,39 - Lake Drummond,493,349,1,843,0
Precinct,41 - John T West,824,774,4,1602,0
Precinct,42 - Parkways,281,373,1,655,0
Precinct,43 - Pleasant Crossing,773,270,1,1044,0
Precinct,45 - Sunray II,171,108,1,280,0
Precinct,46 - Bells Mill II,567,363,2,932,0
Precinct,49 - Waterway,508,372,2,882,0
Precinct,50 - River Walk,448,536,4,988,0
Precinct,51 - Coopers Way,1111,446,5,1562,0
Precinct,52 - Shipyard Road,422,427,2,851,0
Precinct,53 - Fairways,354,313,0,667,0
Precinct,54 - Pughsville,12,68,0,80,0
Precinct,56 - Green Tree,359,350,0,709,0
Precinct,59 - Clearfield,517,433,2,952,0
Precinct,60 - Parker Road,648,287,1,936,0
Precinct,61 - Centerville,1046,417,1,1464,0
Precinct,62 - Fentress,866,360,2,1228,0
Precinct,63 - Poplar Branch,528,156,0,684,0
Precinct,64 - Deep Creek Ii,575,495,1,1071,0
Precinct,65 - Waterway Ii,490,349,0,839,0
Precinct,Ab - Central Absentee Precinct,1243,2965,5,4213,0
Precinct,Provisional,160,204,0,364,0
Locality,Franklin County,1179,1730,4,2913,0
Precinct,Ab - Central Absentee Precinct,42,178,0,220,0
Locality,Isle of Wight County,11346,7158,29,18533,0
Precinct,##ev - Central Absentee Precinct,2293,1834,1,4128,0
Precinct,##pe - Central Absentee Precinct,23,52,0,75,0
Precinct,101 - Pagan River,961,400,2,1363,0
Precinct,102 - Cypress Creek A,867,434,3,1304,0
Precinct,103 - Cypress Creek B,53,22,0,75,0
Precinct,201 - Bartlett,780,478,1,1259,0
Precinct,202 - Nike Park A,834,378,0,1212,0
Precinct,203 - Nike Park B,74,46,0,120,0
Precinct,301 - Rushmere,287,382,2,671,0
Precinct,302 - Pons,329,433,1,763,0
Precinct,303 - Benns Church,211,305,2,518,0
Precinct,304 - New Towne,72,97,2,171,0
Precinct,401 - Bowling Green,614,152,1,767,0
Precinct,402 - Windsor,780,257,0,1037,0
Precinct,403 - Cedar Grove,633,241,4,878,0
Precinct,501 - Walters,495,130,0,625,0
Precinct,502 - Beaver Dam,436,234,1,671,0
Precinct,503 - Fire Tower,600,163,3,766,0
Precinct,504 - Bethany Church,530,112,2,644,0
Precinct,Ab - Central Absentee Precinct,395,926,4,1325,0
Precinct,Provisional,79,82,0,161,0
Locality,Northampton County,2569,2855,10,5434,0
Precinct,##ev - Central Absentee Precinct,727,1022,3,1752,0
Precinct,##pe - Central Absentee Precinct,1,15,0,16,0
Precinct,101 - Precinct 1-1,464,322,2,788,0
Precinct,201 - Precinct 2-1,276,286,2,564,0
Precinct,301 - Precinct 3-1,235,319,1,555,0
Precinct,401 - Precinct 4-1,367,238,1,606,0
Precinct,501 - Precinct 5-1,355,236,1,592,0
Precinct,Ab - Central Absentee Precinct,122,384,0,506,0
Precinct,Provisional,22,33,0,55,0
Locality,Southampton County,3108,1500,5,4613,0
Precinct,##ev - Central Absentee Precinct,567,370,0,937,0
Precinct,##pe - Central Absentee Precinct,1,2,0,3,0
Precinct,101 - Berlin,445,75,0,520,0
Precinct,102 - Ivor,431,208,1,640,0
Precinct,501 - Hunterdale,501,149,2,652,0
Precinct,502 - Forks-of-the-river,194,109,0,303,0
Precinct,601 - Courtland,352,184,2,538,0
Precinct,602 - Sedley,257,43,0,300,0
Precinct,701 - Blackwater River,135,154,0,289,0
Precinct,702 - Newsoms,131,38,0,169,0
Precinct,Ab - Central Absentee Precinct,84,160,0,244,0
Precinct,Provisional,10,8,0,18,0
Locality,Suffolk City,16265,20475,56,36796,0
Precinct,##ev - Central Absentee Precinct,2993,5533,10,8536,0
Precinct,##pe - Central Absentee Precinct,184,662,0,846,0
Precinct,101 - Belleharbour,180,352,0,532,0
Precinct,102 - Driver,1437,669,6,2112,0
Precinct,104 - Bennetts Creek,345,296,1,642,0
Precinct,105 - Harbourview,677,746,3,1426,0
Precinct,201 - Ebenezer,790,338,0,1128,0
Precinct,202 - Chuckatuck,663,315,1,979,0
Precinct,203 - Kings Fork,371,662,3,1036,0
Precinct,204 - Hillpoint,429,609,5,1043,0
Precinct,301 - White Marsh,87,200,0,287,0
Precinct,302 - John F Kennedy,100,524,0,624,0
Precinct,304 - Nansemond River,483,599,2,1084,0
Precinct,305 - Shoulders Hill,245,294,2,541,0
Precinct,306 - Deerfield,391,480,1,872,0
Precinct,401 - Airport,447,217,0,664,0
Precinct,402 - Whaleyville,851,220,4,1075,0
Precinct,403 - Southside,44,324,0,368,0
Precinct,404 - Booker T Washington,42,541,1,584,0
Precinct,405 - Hollywood,21,288,2,311,0
Precinct,501 - Kilbys Mill,810,380,3,1193,0
Precinct,502 - Holland,571,167,0,738,0
Precinct,504 - Lake Cohoon,1095,498,1,1594,0
Precinct,505 - Pittmantown,461,238,1,700,0
Precinct,601 - Lakeside,375,425,0,800,0
Precinct,602 - Olde Towne,105,160,0,265,0
Precinct,603 - Elephants Fork/westhaven,175,173,0,348,0
Precinct,604 - Wilroy,394,478,2,874,0
Precinct,"605 - Mack Benn, Jr.",57,144,0,201,0
Precinct,703 - Pughsville,149,511,1,661,0
Precinct,704 - Burbage Grant,468,836,4,1308,0
Precinct,706 - Huntersville,193,766,3,962,0
Precinct,Ab - Central Absentee Precinct,508,1617,0,2125,0
Precinct,Provisional,124,213,0,337,0
Locality,Virginia Beach City,81016,81421,245,162682,0
Precinct,##ev - Central Absentee Precinct,16755,19413,35,36203,0
Precinct,##pe - Central Absentee Precinct,338,969,1,1308,0
Precinct,1 - Precinct 1,1089,551,2,1642,0
Precinct,2 - Precinct 2,680,551,5,1236,0
Precinct,003 - Precinct 3,528,343,1,872,0
Precinct,4 - Precinct 4,749,418,2,1169,0
Precinct,5 - Precinct 5,408,469,1,878,0
Precinct,6 - Precinct 6,823,487,2,1312,0
Precinct,007 - Precinct 7,593,356,1,950,0
Precinct,008 - Precinct 8,595,499,1,1095,0
Precinct,009 - Precinct 9,815,404,4,1223,0
Precinct,010 - Precinct 10,898,346,0,1244,0
Precinct,11 - Precinct 11,822,706,3,1531,0
Precinct,12 - Precinct 12,573,588,3,1164,0
Precinct,13 - Precinct 13,835,597,2,1434,0
Precinct,014 - Precinct 14,758,530,6,1294,0
Precinct,15 - Precinct 15,514,416,2,932,0
Precinct,016 - Precinct 16,649,513,1,1163,0
Precinct,17 - Precinct 17,446,306,0,752,0
Precinct,18 - Precinct 18,728,499,0,1227,0
Precinct,19 - Precinct 19,482,292,1,775,0
Precinct,20 - Precinct 20,488,318,3,809,0
Precinct,021 - Precinct 21,270,681,0,951,0
Precinct,022 - Precinct 22,650,377,2,1029,0
Precinct,023 - Precinct 23,748,541,2,1291,0
Precinct,24 - Precinct 24,373,215,0,588,0
Precinct,025 - Precinct 25,868,578,2,1448,0
Precinct,026 - Precinct 26,539,356,0,895,0
Precinct,27 - Precinct 27,451,252,1,704,0
Precinct,028 - Precinct 28,547,406,0,953,0
Precinct,29 - Precinct 29,421,514,1,936,0
Precinct,030 - Precinct 30,635,323,1,959,0
Precinct,31 - Precinct 31,1035,451,4,1490,0
Precinct,32 - Precinct 32,667,161,2,830,0
Precinct,33 - Precinct 33,711,166,2,879,0
Precinct,34 - Precinct 34,434,110,0,544,0
Precinct,35 - Precinct 35,599,259,1,859,0
Precinct,36 - Precinct 36,573,611,2,1186,0
Precinct,37 - Precinct 37,485,394,2,881,0
Precinct,38 - Precinct 38,666,395,3,1064,0
Precinct,39 - Precinct 39,461,383,3,847,0
Precinct,040 - Precinct 40,432,403,2,837,0
Precinct,041 - Precinct 41,163,400,2,565,0
Precinct,042 - Precinct 42,610,606,2,1218,0
Precinct,043 - Precinct 43,408,567,3,978,0
Precinct,044 - Precinct 44,749,493,3,1245,0
Precinct,45 - Precinct 45,368,563,0,931,0
