,,Robert Cortez Scott,Terry T. Namkung,Write-Ins,Total Votes Cast,Undervotes
,,Democratic,Republican,,,
Congressional District,3,139659,67668,516,207843,0
Locality,Chesapeake City,21824,13821,170,35815,0
Precinct,##ev - Central Absentee Precinct,6478,3163,61,9702,0
Precinct,##pe - Central Absentee Precinct,217,42,2,261,0
Precinct,3 - Camelot,463,69,4,536,0
Precinct,4 - Churchland,265,612,2,879,0
Precinct,5 - Crestwood,609,124,4,737,0
Precinct,8 - South Norfolk Recreation,547,518,2,1067,0
Precinct,10 - Oscar Smith,245,230,3,478,0
Precinct,11 - Geneva Park,266,431,9,706,0
Precinct,12 - Georgetown,495,110,1,606,0
Precinct,13 - Gilmerton,428,523,2,953,0
Precinct,15 - Greenbrier Middle School,451,371,10,832,0
Precinct,18 - Indian River,433,239,7,679,0
Precinct,19 - Jolliff,201,483,0,684,0
Precinct,20 - E W Chittum,435,635,3,1073,0
Precinct,21 - Fellowship,428,577,1,1006,0
Precinct,22 - Norfolk Highlands,237,349,3,589,0
Precinct,24 - Oaklette,377,321,9,707,0
Precinct,25 - St Julians,464,286,2,752,0
Precinct,26 - Johnson Park,258,149,1,408,0
Precinct,27 - Silverwood,374,506,5,885,0
Precinct,29 - Tanglewood,233,528,2,763,0
Precinct,30 - South Norfolk,337,21,0,358,0
Precinct,31 - Carver School,556,149,0,705,0
Precinct,32 - Providence,715,73,1,789,0
Precinct,33 - Westover,206,357,2,565,0
Precinct,35 - Taylor Road,364,185,1,550,0
Precinct,38 - Bailey Creek,258,636,6,900,0
Precinct,44 - Nansemond,437,362,2,801,0
Precinct,48 - Jolliff Middle School,782,147,2,931,0
Precinct,54 - Pughsville,393,220,3,616,0
Precinct,55 - Georgetown East,359,109,1,469,0
Precinct,57 - Cypress,416,344,2,762,0
Precinct,58 - Expressway,260,117,2,379,0
Precinct,66 - Fairways Ii,242,190,9,441,0
Precinct,Ab - Central Absentee Precinct,2401,552,6,2959,0
Precinct,Provisional,194,93,0,287,0
Locality,Hampton City,28593,11994,67,40654,0
Precinct,##ev - Central Absentee Precinct,7341,1899,6,9246,0
Precinct,##pe - Central Absentee Precinct,95,17,0,112,0
Precinct,101 - Aberdeen,676,126,1,803,0
Precinct,102 - Bassette,746,66,0,812,0
Precinct,103 - City Hall,343,87,2,432,0
Precinct,104 - Cooper,808,194,1,1003,0
Precinct,105 - East Hampton,266,149,1,416,0
Precinct,106 - Armstrong,606,348,3,957,0
Precinct,107 - Lindsay,692,161,3,856,0
Precinct,108 - Thomas,725,135,0,860,0
Precinct,109 - Phenix,872,93,2,967,0
Precinct,110 - Phoebus,169,108,1,278,0
Precinct,111 - Hampton Library,237,153,0,390,0
Precinct,112 - Smith,737,390,2,1129,0
Precinct,115 - Wythe,351,293,0,644,0
Precinct,116 - Jones,333,108,1,442,0
Precinct,117 - Kecoughtan,539,247,2,788,0
Precinct,118 - Mallory,864,120,4,988,0
Precinct,201 - Patrick,564,631,2,1197,0
Precinct,202 - Bryan,621,505,2,1128,0
Precinct,203 - Burbank,445,348,2,795,0
Precinct,204 - Forrest,558,309,1,868,0
Precinct,205 - Asbury,668,1148,4,1820,0
Precinct,208 - Kraft,857,644,2,1503,0
Precinct,209 - Langley,490,456,1,947,0
Precinct,210 - Machen,1020,393,4,1417,0
Precinct,212 - Bethel,1043,380,5,1428,0
Precinct,213 - Phillips,777,821,7,1605,0
Precinct,214 - Jackson,662,448,3,1113,0
Precinct,215 - Peake,173,49,0,222,0
Precinct,216 - Sandy Bottom,438,271,0,709,0
Precinct,217 - Syms,263,305,0,568,0
Precinct,Ab - Central Absentee Precinct,3217,505,5,3727,0
Precinct,Provisional,397,87,0,484,0
Locality,Newport News City,31834,17790,81,49705,0
Precinct,##ev - Central Absentee Precinct,6079,2235,10,8324,0
Precinct,##pe - Central Absentee Precinct,139,30,0,169,0
Precinct,101 - Denbigh,799,381,2,1182,0
Precinct,102 - Stoney Run,903,255,3,1161,0
Precinct,104 - Mcintosh,594,250,3,847,0
Precinct,106 - Reservoir,479,165,1,645,0
Precinct,107 - Richneck,842,574,4,1420,0
Precinct,108 - Katherine Johnson,280,158,0,438,0
Precinct,109 - Windsor,441,316,3,760,0
Precinct,110 - Greenwood,776,359,2,1137,0
Precinct,111 - Stoneybrook,717,441,1,1159,0
Precinct,112 - Knollwood Meadows,837,877,3,1717,0
Precinct,113 - Sanford,274,373,0,647,0
Precinct,201 - Bland,142,62,0,204,0
Precinct,202 - Boulevard,438,518,3,959,0
Precinct,203 - Charles,794,879,2,1675,0
Precinct,204 - Mariners' Museum,284,270,2,556,0
Precinct,205 - Deep Creek,565,890,0,1455,0
Precinct,208 - Hidenwood,373,501,0,874,0
Precinct,211 - Palmer,604,375,3,982,0
Precinct,212 - Riverside,366,441,6,813,0
Precinct,216 - Yates,560,553,3,1116,0
Precinct,217 - Riverview,449,638,1,1088,0
Precinct,218 - Kiln Creek,876,731,3,1610,0
Precinct,219 - Deer Park,708,320,1,1029,0
Precinct,220 -Jenkins,693,507,3,1203,0
Precinct,302 - Briarfield,438,165,1,604,0
Precinct,303 - Carver,307,107,0,414,0
Precinct,304 - Chestnut,296,18,1,315,0
Precinct,305 - Downtown,172,45,0,217,0
Precinct,307 - Huntington,211,10,0,221,0
Precinct,308 - Jefferson,219,7,0,226,0
Precinct,309 - Magruder,301,21,0,322,0
Precinct,310 - Marshall,343,31,1,375,0
Precinct,311 - Newmarket,659,251,2,912,0
Precinct,312 - Newsome Park,96,3,0,99,0
Precinct,313 - Reed,542,31,1,574,0
Precinct,314 - River,302,203,2,507,0
Precinct,315 - Sedgefield,434,390,3,827,0
Precinct,316 - South Morrison,487,308,0,795,0
Precinct,317 - Washington,154,8,0,162,0
Precinct,318 - Wilson,326,45,2,373,0
Precinct,319 - Saunders,664,591,2,1257,0
Precinct,320 - Watkins,761,836,2,1599,0
Precinct,321 - Hilton,589,488,1,1078,0
Precinct,322 - Warwick,308,263,1,572,0
Precinct,Ab - Central Absentee Precinct,3818,726,3,4547,0
Precinct,Provisional,395,144,0,539,0
Locality,Norfolk City,38638,15579,154,54371,0
Precinct,##ev - Central Absentee Precinct,6600,2009,16,8625,0
Precinct,##pe - Central Absentee Precinct,231,46,1,278,0
Precinct,101 - Granby,757,357,2,1116,0
Precinct,102 - Ocean View School,254,240,1,495,0
Precinct,103 - Northside,422,448,3,873,0
Precinct,104 - Titustown,324,54,1,379,0
Precinct,106 - Second Presbyterian,673,406,5,1084,0
Precinct,107 - Wesley,383,248,0,631,0
Precinct,201 - Larchmont School,597,316,0,913,0
Precinct,203 - Ghent Square,413,147,1,561,0
Precinct,207 - Lambert's Point,570,93,2,665,0
Precinct,208 - Larchmont Library,440,334,7,781,0
Precinct,210 - Maury,686,225,4,915,0
Precinct,211 - Chrysler Museum,823,379,3,1205,0
Precinct,212 - Park Place,507,56,4,567,0
Precinct,213 - Taylor Elementary School,927,242,6,1175,0
Precinct,214 - Virginia Zoo,819,243,3,1065,0
Precinct,215 - Suburban Park,480,375,2,857,0
Precinct,217 - Wesley,0,0,0,0,0
Precinct,218 - Willard,768,579,4,1351,0
Precinct,301 - Ballentine,525,124,1,650,0
Precinct,302 - Tanners Creek,347,80,0,427,0
Precinct,303 - Broad Creek,732,48,2,782,0
Precinct,304 - Coleman Place School,347,102,3,452,0
Precinct,305 - Lafayette-winona,469,130,1,600,0
Precinct,306 - Lindenwood,440,51,0,491,0
Precinct,309 - Norview,823,301,0,1124,0
Precinct,310 - Rosemont,931,81,1,1013,0
Precinct,311 - Sherwood,803,453,11,1267,0
Precinct,313 - Union Chapel,329,16,1,346,0
Precinct,402 - Berkley,536,19,0,555,0
Precinct,404 - Campostella,547,47,5,599,0
Precinct,405 - Chesterfield,550,42,2,594,0
Precinct,406 - Barron Black,401,290,2,693,0
Precinct,408 - Calvary Revival Church,395,358,2,755,0
Precinct,409 - Fairlawn,349,282,5,636,0
Precinct,411 - Ruffner Academy,218,11,0,229,0
Precinct,412 - Ingleside,599,102,0,701,0
Precinct,413 - Poplar Halls,737,192,1,930,0
Precinct,414 - Young Park,486,36,0,522,0
Precinct,415 - Lake Taylor High School,394,223,2,619,0
Precinct,501 - Bayview,485,557,2,1044,0
Precinct,503 - East Ocean View,603,608,5,1216,0
Precinct,504 - Larrymore,497,371,2,870,0
Precinct,505 - Little Creek,398,375,6,779,0
Precinct,506 - Ocean View Golf Course,637,394,5,1036,0
Precinct,507 - Pretlow,446,383,7,836,0
Precinct,509 - Tarrallton,415,621,2,1038,0
Precinct,510 - Third Presbyterian,487,651,4,1142,0
Precinct,511 - Crossroads,518,460,3,981,0
Precinct,512 - Azalea Gardens,335,312,1,648,0
Precinct,AB - Central Absentee Precinct,5556,905,13,6474,0
Precinct,Provisional,629,157,0,786,0
Locality,Portsmouth City,18770,8484,44,27298,0
Precinct,##ev - Central Absentee Precinct,3732,835,5,4572,0
Precinct,##pe - Central Absentee Precinct,81,14,0,95,0
Precinct,1 - Emanuel A. M. E. Church,466,202,2,670,0
Precinct,5 - Charles A. Fisher Memorial Academy,256,25,0,281,0
Precinct,7- Park View Elementary School,359,129,1,489,0
Precinct,9 - Third Baptist Church,476,107,2,585,0
Precinct,10 - Mount Hermon Preschool Center,213,142,1,356,0
Precinct,11 - Joseph E. Parker Recreation Center,370,21,0,391,0
Precinct,13 - St. Mark Missionary Baptist Church,178,28,0,206,0
Precinct,14 - Brighton Elementary School,429,30,0,459,0
Precinct,16 - Cradock Middle School,324,168,0,492,0
Precinct,17 - Victory Life Fellowship,377,227,1,605,0
Precinct,19 - Victory Elementary School,206,171,2,379,0
Precinct,20 - Noble Street Baptist Church,441,149,1,591,0
Precinct,21 - John F. Kennedy Community Center,275,17,0,292,0
Precinct,22 - St. Mark Deliverance Center,286,283,1,570,0
Precinct,23 - Westhaven Baptist Church,256,405,1,662,0
Precinct,24 - The Senior Station,296,187,0,483,0
