,,A. Donald McEachin,Leon Benjamin,Write-Ins,Total Votes Cast,Undervotes
,,Democratic,Republican,,,
Congressional District,4,159044,85503,425,244972,0
Locality,Brunswick County,2791,2450,5,5246,0
Precinct,##ev - Central Absentee Precinct,749,479,2,1230,0
Precinct,##pe - Central Absentee Precinct,0,0,0,0,0
Precinct,101 - Brodnax,86,115,0,201,0
Precinct,102 - Rock Store,111,208,0,319,0
Precinct,103 - Tillman,143,304,0,447,0
Precinct,201 - Dromgoole,53,85,0,138,0
Precinct,202 - Edgerton,185,91,2,278,0
Precinct,203 - Fitzhugh,166,114,0,280,0
Precinct,301 - Alberta,41,54,0,95,0
Precinct,302 - Danieltown,145,268,0,413,0
Precinct,303 - Elmore,76,99,1,176,0
Precinct,304 - Seymour,86,108,0,194,0
Precinct,401 - Sturgeon,243,245,0,488,0
Precinct,402 - King's Store,132,59,0,191,0
Precinct,501 - Totaro,310,136,0,446,0
Precinct,Ab - Central Absentee Precinct,258,72,0,330,0
Precinct,Provisional,7,13,0,20,0
Locality,Charles City County,1585,1263,0,2848,0
Precinct,##ev - Central Absentee Precinct,547,286,0,833,0
Precinct,##pe - Central Absentee Precinct,7,0,0,7,0
Precinct,101 - Precinct 1-1,283,418,0,701,0
Precinct,201 - Precinct 2-1,241,235,0,476,0
Precinct,301 - Precinct 3-1,281,277,0,558,0
Precinct,Ab - Central Absentee Precinct,209,34,0,243,0
Precinct,Provisional,17,13,0,30,0
Locality,Chesterfield County,34933,28959,91,63983,0
Precinct,##ev - Central Absentee Precinct,7988,6653,11,14652,0
Precinct,##pe - Central Absentee Precinct,329,74,0,403,0
Precinct,101 - Bellwood,337,359,1,697,0
Precinct,102 - South Chester,486,603,2,1091,0
Precinct,103 - Enon,662,1013,2,1677,0
Precinct,104 - North Chester,486,851,1,1338,0
Precinct,105 - Drewrys Bluff,365,283,1,649,0
Precinct,106 - Harrowgate,662,653,3,1318,0
Precinct,107 - Wells,555,584,5,1144,0
Precinct,108 - Ecoff,564,854,4,1422,0
Precinct,109 - Elizabeth Scott,845,1029,2,1876,0
Precinct,110 - Dutch Gap,416,499,1,916,0
Precinct,111 - Iron Bridge,324,444,2,770,0
Precinct,112 - Carver,423,433,1,857,0
Precinct,113 - Iron Bridge North,452,374,2,828,0
Precinct,114 - Happy Hill,72,64,1,137,0
Precinct,201 - Gates,91,182,1,274,0
Precinct,202 - Beulah,824,440,3,1267,0
Precinct,203 - Bird,485,383,0,868,0
Precinct,204 - Jacobs,363,345,0,708,0
Precinct,205 - Falling Creek,679,252,0,931,0
Precinct,206 - Belmont,423,108,2,533,0
Precinct,207 - Chippenham,891,307,0,1198,0
Precinct,208 - Meadowbrook,660,236,1,897,0
Precinct,209 - Salem Church,415,517,1,933,0
Precinct,210 - Five Forks,966,530,3,1499,0
Precinct,211 - Nash,509,991,2,1502,0
Precinct,212 - St. Luke's,306,374,2,682,0
Precinct,213 - Southside,420,137,1,558,0
Precinct,217 - Pocoshock South,241,77,0,318,0
Precinct,218 - New Manchester,392,333,1,726,0
Precinct,219 - Gates East,228,244,1,473,0
Precinct,220 - Falling Creek East,77,49,1,127,0
Precinct,301 - Ettrick,615,249,2,866,0
Precinct,303 - Matoaca,522,835,2,1359,0
Precinct,305 - Beach,85,410,0,495,0
Precinct,314 - Longhouse,115,505,1,621,0
Precinct,402 - Genito,466,500,1,967,0
Precinct,404 - Providence,586,424,3,1013,0
Precinct,405 - La Prade,507,569,2,1078,0
Precinct,408 - Reams,364,234,2,600,0
Precinct,412 - Clover Hill,0,0,0,0,0
Precinct,414 - Crenshaw,750,946,5,1701,0
Precinct,513 - Beaufont,374,170,2,546,0
Precinct,515 - Davis,602,202,2,806,0
Precinct,516 - Pocoshock North,172,120,0,292,0
Precinct,519 - Buford,48,25,0,73,0
Precinct,Ab - Central Absentee Precinct,6430,3302,11,9743,0
Precinct,Provisional,361,193,0,554,0
Locality,Colonial Heights City,1618,4019,8,5645,0
Precinct,##EV - Central Absentee Precinct,444,1327,1,1772,0
Precinct,##pe - Central Absentee Precinct,2,0,0,2,0
Precinct,1 - First,130,353,0,483,0
Precinct,2 - Second,191,451,0,642,0
Precinct,3 - Third,222,517,1,740,0
Precinct,4 - Fourth,233,522,1,756,0
Precinct,5 - Fifth,207,668,3,878,0
Precinct,Ab - Central Absentee Precinct,174,165,2,341,0
Precinct,Provisional,15,16,0,31,0
Locality,Dinwiddie County,3639,5890,6,9535,0
Precinct,##ev - Central Absentee Precinct,991,1112,0,2103,0
Precinct,##pe - Central Absentee Precinct,6,7,0,13,0
Precinct,101 - White Oak,36,284,0,320,0
Precinct,102 - Rocky Run,91,400,1,492,0
Precinct,103 - Church Road,87,691,0,778,0
Precinct,201 - Rohoic,211,146,0,357,0
Precinct,202 - Sutherland,306,669,1,976,0
Precinct,301 - Reams,90,278,0,368,0
Precinct,302 - New Hope,155,319,1,475,0
Precinct,303 - Little Zion,260,418,0,678,0
Precinct,401 - Dinwiddie,187,485,1,673,0
Precinct,402 - Mckenney,149,311,0,460,0
Precinct,403 - Cherry Hill,94,196,0,290,0
Precinct,501 - Edgehill,165,79,1,245,0
Precinct,502 - Chesdin,408,327,1,736,0
Precinct,Ab - Central Absentee Precinct,379,138,0,517,0
Precinct,Provisional,24,30,0,54,0
Locality,Emporia City,840,542,13,1395,0
Precinct,##ev - Central Absentee Precinct,191,53,0,244,0
Precinct,##pe - Central Absentee Precinct,4,1,0,5,0
Precinct,101 - Precinct 1-1,118,89,0,207,0
Precinct,201 - Precinct 2-1,73,14,1,88,0
Precinct,301 - Precinct 3-1,81,107,0,188,0
Precinct,401 - Precinct 4-1,75,94,7,176,0
Precinct,501 - Precinct 5-1,90,2,0,92,0
Precinct,601 - District 6,60,133,5,198,0
Precinct,701 - District 7,69,25,0,94,0
Precinct,AB - Central Absentee Precinct,79,23,0,102,0
Precinct,Provisional,0,1,0,1,0
Locality,Greensville County,1527,1397,9,2933,0
Precinct,##ev - Central Absentee Precinct,277,241,0,518,0
Precinct,##pe - Central Absentee Precinct,1,0,0,1,0
Precinct,101 - Precinct 1-a,144,125,0,269,0
Precinct,102 - Precinct 1-b,35,73,0,108,0
Precinct,103 - Precinct 1-c,102,38,2,142,0
Precinct,201 - Precinct 2-a,164,98,1,263,0
Precinct,202 - Precinct 2-b,100,243,1,344,0
Precinct,302 - Precinct 3-a,297,178,2,477,0
Precinct,401 - Precinct 4-a,45,127,0,172,0
Precinct,402 - Precinct 4-b,154,131,1,286,0
Precinct,403 - Precinct 4-c,35,81,2,118,0
Precinct,AB - Central Absentee Precinct,169,52,0,221,0
Precinct,Provisional,4,10,0,14,0
Locality,Henrico County,36582,13867,82,50531,0
Precinct,##ev - Central Absentee Precinct,8491,2269,9,10769,0
Precinct,##pe - Central Absentee Precinct,303,35,0,338,0
Precinct,102 - Dumbarton,694,325,3,1022,0
Precinct,104 - Greendale,331,236,1,568,0
Precinct,105 - Hermitage,647,549,3,1199,0
Precinct,106 - Holladay,300,303,2,605,0
Precinct,109 - Johnson,486,319,4,809,0
Precinct,111 - Maude Trevvett,676,440,1,1117,0
Precinct,115 - Westwood,519,364,2,885,0
Precinct,201 - Azalea,896,92,1,989,0
Precinct,202 - Belmont,707,353,6,1066,0
Precinct,203 - Brookland,300,243,0,543,0
Precinct,204 - Canterbury,253,162,1,416,0
Precinct,205 - Central Gardens,739,34,1,774,0
Precinct,206 - Chamberlayne,774,278,5,1057,0
Precinct,207 - Eastbourne,319,23,1,343,0
Precinct,208 - Essex Village,164,9,1,174,0
Precinct,209 - Fairfield,459,32,0,491,0
Precinct,210 - Glen Lea,593,97,1,691,0
Precinct,212 - Highland Gardens,298,25,1,324,0
Precinct,213 - Hollybrook,241,123,2,366,0
Precinct,214 - Hungary,476,151,0,627,0
Precinct,215 - Lakeside,1069,550,5,1624,0
Precinct,217 - Maplewood,1002,63,1,1066,0
Precinct,218 - Moody,150,106,0,256,0
Precinct,221 - Oakview,24,26,0,50,0
Precinct,223 - Ratcliffe,998,83,2,1083,0
Precinct,224 - Stratford Hall,104,68,1,173,0
Precinct,225 - Wilder,645,171,1,817,0
Precinct,501 - Adams,553,61,0,614,0
Precinct,502 - Antioch,259,776,2,1037,0
Precinct,503 - Cedar Fork,476,79,2,557,0
Precinct,504 - Chickahominy,421,513,2,936,0
Precinct,505 - Donahoe,423,228,1,652,0
Precinct,506 - Dorey,706,545,1,1252,0
Precinct,507 - Eanes,759,234,3,996,0
Precinct,508 - Elko,64,304,0,368,0
Precinct,509 - Highland Springs,468,127,1,596,0
Precinct,510 - Laburnum,404,135,0,539,0
Precinct,511 - Mehfoud,588,266,0,854,0
Precinct,512 - Montrose,630,122,1,753,0
Precinct,513 - Nine Mile,292,166,0,458,0
Precinct,514 - Pleasants,882,115,1,998,0
Precinct,515 - Rolfe,1088,120,3,1211,0
Precinct,516 - Sandston,305,615,4,924,0
Precinct,517 - Sullivans,872,283,3,1158,0
Precinct,518 - Town Hall,171,276,1,448,0
Precinct,519 - Whitlocks,436,647,1,1084,0
Precinct,Ab - Central Absentee Precinct,3855,653,1,4509,0
Precinct,Provisional,272,73,0,345,0
Locality,Hopewell City,2692,2493,12,5197,0
Precinct,##ev - Central Absentee Precinct,795,589,0,1384,0
Precinct,##pe - Central Absentee Precinct,40,35,0,75,0
Precinct,101 - Ward One,189,204,1,394,0
Precinct,201 - Ward Two,261,49,0,310,0
Precinct,301 - Ward Three,213,508,1,722,0
Precinct,401 - Ward Four,289,348,0,637,0
Precinct,501 - Ward Five,186,364,0,550,0
Precinct,601 - Ward Six,267,117,2,386,0
Precinct,701 - Ward Seven,204,189,8,401,0
Precinct,Ab - Central Absentee Precinct,230,75,0,305,0
Precinct,Provisional,18,15,0,33,0
Locality,Petersburg City,6592,994,14,7600,0
Precinct,##ev - Central Absentee Precinct,1635,223,2,1860,0
Precinct,##pe - Central Absentee Precinct,30,3,0,33,0
Precinct,101 - First Ward First Precinct,412,77,2,491,0
Precinct,201 - Second Ward First Precinct,698,89,1,788,0
Precinct,301 - Third Ward First Precinct,714,195,2,911,0
Precinct,401 - Fourth Ward First Precinct,432,152,2,586,0
Precinct,501 - Fifth Ward First Precinct,425,73,2,500,0
Precinct,601 - Sixth Ward First Precinct,459,36,3,498,0
Precinct,701 - Seventh Ward First Precinct,638,55,0,693,0
Precinct,Ab - Central Absentee Precinct,1059,83,0,1142,0
Precinct,Provisional,90,8,0,98,0
Locality,Prince George County,4163,6994,15,11172,0
Precinct,##ev - Central Absentee Precinct,1118,1488,1,2607,0
Precinct,##pe - Central Absentee Precinct,40,43,0,83,0
Precinct,101 - Richard Bland,177,406,0,583,0
Precinct,102 - Templeton,251,1278,1,1530,0
Precinct,103 - Union Branch,328,568,1,897,0
