,,Jen A. Kiggans,Missy Cotter Smasal,"Robert E. Reid, Jr.",Write-Ins,Total Votes Cast
,,Republican,Democratic,Independent,,
Congressional District,2,207368,191666,9197,471,408702
Locality,Accomack County,9795,7044,283,29,17151
Precinct,101 - Chincoteague,1405,749,41,6,2201
Precinct,201 - Atlantic,543,197,16,1,757
Precinct,202 - Greenbackville,947,370,19,1,1337
Precinct,301 - New Church,748,824,40,2,1614
Precinct,401 - Bloxom,482,186,14,3,685
Precinct,402 - Parksley,490,265,14,0,769
Precinct,403 - Saxis,171,45,4,1,221
Precinct,501 - Mappsville,299,390,11,3,703
Precinct,502 - Rue,157,424,11,1,593
Precinct,601 - Accomac,865,586,28,3,1482
Precinct,602 - Tangier,208,24,2,0,234
Precinct,701 - Nandua,1188,954,30,3,2175
Precinct,801 - Bobtown,475,243,7,0,725
Precinct,802 - Melfa,432,431,16,3,882
Precinct,803 - Wachapreague,411,170,10,1,592
Precinct,901 - Painter,826,1089,14,1,1930
Precinct,Provisional,148,97,6,0,251
Locality,Chesapeake City,40426,30174,1553,78,72231
Precinct,001 - Great Bridge,1336,797,48,2,2183
Precinct,002 - Bethel,1675,505,43,0,2223
Precinct,006 - Deep Creek,856,971,46,4,1877
Precinct,007 - Greenbrier,1115,865,44,2,2026
Precinct,009 - Bells Mill,2013,1068,59,3,3143
Precinct,014 - Grassfield,1833,1483,64,1,3381
Precinct,016 - Hickory Grove,1701,654,43,3,2401
Precinct,017 - Indian Creek,1290,415,37,7,1749
Precinct,023 - Oak Grove,1015,1247,61,2,2325
Precinct,028 - Sunray I,241,160,11,0,412
Precinct,034 - Hickory Middle School,2043,902,53,5,3003
Precinct,036 - Great Bridge Baptist Church,1318,753,46,2,2119
Precinct,037 - Bridgetown,1486,1018,44,4,2552
Precinct,039 - Lake Drummond,867,754,39,2,1662
Precinct,041 - John T West,1585,1749,103,8,3445
Precinct,042 - Parkways,685,1154,49,2,1890
Precinct,043 - Pleasant Crossing,1387,611,51,3,2052
Precinct,045 - Sunray Ii,265,265,14,0,544
Precinct,046 - Bells Mill Ii,1070,903,44,1,2018
Precinct,049 - Waterway,1053,1200,42,4,2299
Precinct,050 - River Walk,897,1183,55,2,2137
Precinct,051 - Coopers Way,2183,1262,70,0,3515
Precinct,052 - Shipyard Road,891,1082,47,1,2021
Precinct,053 - Fairways,1010,1101,34,2,2147
Precinct,054 - Pughsville,37,147,5,1,190
Precinct,056 - Green Tree,785,985,43,3,1816
Precinct,059 - Clearfield,976,1015,30,1,2022
Precinct,060 - Parker Road,1474,814,47,1,2336
Precinct,061 - Centerville,1890,875,47,1,2813
Precinct,062 - Fentress,1387,754,37,2,2180
Precinct,063 - Poplar Branch,1063,461,30,1,1555
Precinct,064 - Deep Creek Ii,1111,1358,68,4,2541
Precinct,065 - Waterway Ii,1251,1163,41,2,2457
Precinct,Chesapeake City Provisionals,637,500,58,2,1197
Locality,Franklin City,1525,2181,99,6,3811
Precinct,101 - Precinct 1-1,563,304,16,1,884
Precinct,201 - Precinct 2-1,417,359,22,1,799
Precinct,301 - Precinct 3-1,65,400,21,0,486
Precinct,401 - Precinct 4-1,108,364,12,0,484
Precinct,501 - Precinct 5-1,61,378,9,2,450
Precinct,601 - Precinct 6-1,283,332,15,2,632
Precinct,Provisional,28,44,4,0,76
Locality,Isle of Wight County,14781,9099,511,24,24415
Precinct,101 - Pagan River,1566,847,48,4,2465
Precinct,102 - Cypress Creek A,1546,965,60,1,2572
Precinct,103 - Cypress Creek B,82,59,4,0,145
Precinct,201 - Bartlett,1342,1085,54,5,2486
Precinct,202 - Nike Park A,1468,749,26,0,2243
Precinct,203 - Nike Park B,123,95,3,1,222
Precinct,301 - Rushmere,510,713,16,1,1240
Precinct,302 - Pons,780,994,28,0,1802
Precinct,303 - Benns Church,485,646,36,0,1167
Precinct,304 - New Towne,122,215,14,1,352
Precinct,401 - Bowling Green,1019,304,24,4,1351
Precinct,402 - Windsor,1317,606,44,2,1969
Precinct,403 - Cedar Grove,939,458,35,0,1432
Precinct,501 - Walters,714,215,10,1,940
Precinct,502 - Beaver Dam,661,380,23,1,1065
Precinct,503 - Fire Tower,1051,345,37,1,1434
Precinct,504 - Bethany Church,815,259,23,2,1099
Precinct,ISLE OF WIGHT COUNTY PROVISIONALS,241,164,26,0,431
Locality,Northampton County,3333,3386,86,5,6810
Precinct,101 - Precinct 1-1,939,801,13,1,1754
Precinct,201 - Precinct 2-1,528,689,28,1,1246
Precinct,301 - Precinct 3-1,437,690,19,0,1146
Precinct,401 - Precinct 4-1,751,678,11,1,1441
Precinct,501 - Precinct 5-1,625,495,15,2,1137
Precinct,NORTHAMPTON COUNTY PROVISIONALS,53,33,0,0,86
Locality,Southampton County,3905,1928,119,5,5957
Precinct,101 - Berlin,686,144,12,1,843
Precinct,102 - Ivor,616,341,28,0,985
Precinct,501 - Darden Mill,567,254,14,2,837
Precinct,502 - Fairgrounds,677,257,13,0,947
Precinct,601 - Courtland,594,437,28,2,1061
Precinct,602 - Sedley,206,40,3,0,249
Precinct,701 - Blackwater River,512,433,19,0,964
Precinct,SOUTHAMPTON COUNTY PROVISIONALS,47,22,2,0,71
Locality,Suffolk City,22310,28918,1393,74,52695
Precinct,101 - Belleharbour,339,703,33,5,1080
Precinct,102 - Driver,2197,1411,79,2,3689
Precinct,104 - Bennetts Creek,605,668,32,3,1308
Precinct,105 - Harbourview,1322,1839,60,5,3226
Precinct,201 - Ebenezer,1080,606,33,0,1719
Precinct,202 - Chuckatuck,1025,692,42,1,1760
Precinct,203 - Kings Fork,781,1707,64,3,2555
Precinct,204 - Hillpoint,831,1621,69,6,2527
Precinct,301 - White Marsh,168,361,21,0,550
Precinct,302 - John F Kennedy,234,1549,41,5,1829
Precinct,304 - Nansemond River,834,1421,77,1,2333
Precinct,305 - Shoulders Hill,379,605,22,0,1006
Precinct,306 - Deerfield,639,927,49,1,1616
Precinct,401 - Airport,843,593,48,1,1485
Precinct,402 - Whaleyville,1276,487,48,3,1814
Precinct,403 - Southside,118,759,39,1,917
Precinct,404 - Booker T Washington,150,1209,41,0,1400
Precinct,405 - Hollywood,82,651,24,0,757
Precinct,501 - Kilbys Mill,1455,989,50,4,2498
Precinct,502 - Holland,1035,432,38,1,1506
Precinct,504 - Lake Cohoon,2035,1340,69,2,3446
Precinct,505 - Pittmantown,764,452,28,2,1246
Precinct,601 - Lakeside,772,1048,54,5,1879
Precinct,602 - Olde Towne,174,338,16,1,529
Precinct,603 - Elephants Fork/westhaven,314,437,29,2,782
Precinct,604 - Wilroy,791,1110,56,3,1960
Precinct,605 - Mack Benn Jr,148,335,16,1,500
