,,"Robert C. ""Bobby"" Scott","John Sitka, III",Write-Ins,Total Votes Cast
,,Democratic,Republican,,
Congressional District,3,219926,93801,670,314397
Locality,Chesapeake City,34342,19552,156,54050
Precinct,003 - Camelot,1449,182,2,1633
Precinct,004 - Churchland,835,1216,6,2057
Precinct,005 - Crestwood,1439,235,1,1675
Precinct,008 - South Norfolk Recreation,1264,931,5,2200
Precinct,010 - Oscar Smith,568,421,4,993
Precinct,011 - Geneva Park,700,746,9,1455
Precinct,012 - Georgetown,1419,216,0,1635
Precinct,013 - Gilmerton,925,867,9,1801
Precinct,015 - Greenbrier Middle School,1556,816,7,2379
Precinct,018 - Indian River,1039,517,6,1562
Precinct,019 - Jolliff,547,847,4,1398
Precinct,020 - E W Chittum,1112,1222,1,2335
Precinct,021 - Fellowship,1261,1061,4,2326
Precinct,022 - Norfolk Highlands,591,710,7,1308
Precinct,024 - Oaklette,978,640,6,1624
Precinct,025 - St Julians,1108,504,1,1613
Precinct,026 - Johnson Park,585,274,7,866
Precinct,027 - Silverwood,1111,917,6,2034
Precinct,029 - Tanglewood,707,945,9,1661
Precinct,030 - South Norfolk,723,62,2,787
Precinct,031 - Carver School,1601,325,6,1932
Precinct,032 - Providence,1946,189,3,2138
Precinct,033 - Westover,473,601,3,1077
Precinct,035 - Taylor Road,927,390,2,1319
Precinct,038 - Bailey Creek,682,1204,8,1894
Precinct,044 - Nansemond,1177,661,3,1841
Precinct,048 - Jolliff Middle School,2129,323,4,2456
Precinct,054 - Pughsville,1152,494,11,1657
Precinct,055 - Georgetown East,1055,261,3,1319
Precinct,057 - Cypress,1195,684,3,1882
Precinct,058 - Expressway,530,223,3,756
Precinct,066 - Fairways Ii,670,414,7,1091
Precinct,Chesapeake City Provisionals,888,454,4,1346
Locality,Hampton City,44868,16335,97,61300
Precinct,101 - Aberdeen,1665,263,3,1931
Precinct,102 - Bassette,1645,136,5,1786
Precinct,103 - City Hall,1089,220,0,1309
Precinct,104 - Cooper,2455,352,1,2808
Precinct,105 - East Hampton,824,294,1,1119
Precinct,106 - Armstrong,1453,598,7,2058
Precinct,107 - Lindsay,1550,259,4,1813
Precinct,108 - Thomas,1903,321,3,2227
Precinct,109 - Phenix,1925,220,3,2148
Precinct,110 - Phoebus,344,182,1,527
Precinct,111 - Hampton Library,528,270,1,799
Precinct,112 - Smith,1914,662,6,2582
Precinct,115 - Wythe,847,439,0,1286
Precinct,116 - Jones,793,218,0,1011
Precinct,117 - Kecoughtan,1317,391,1,1709
Precinct,118 - Mallory,1955,211,6,2172
Precinct,201 - Patrick,1340,948,3,2291
Precinct,202 - Bryan,1494,829,4,2327
Precinct,203 - Burbank,1116,582,0,1698
Precinct,204 - Forrest,1271,516,1,1788
Precinct,205 - Asbury,1595,1670,4,3269
Precinct,208 - Kraft,2033,1063,4,3100
Precinct,209 - Langley,1222,715,4,1941
Precinct,210 - Machen,2620,727,8,3355
Precinct,212 - Bethel,2582,674,4,3260
Precinct,213 - Phillips,1756,1299,9,3064
Precinct,214 - Jackson,1607,784,2,2393
Precinct,215 - Peake,489,109,0,598
Precinct,216 - Sandy Bottom,1016,424,1,1441
Precinct,217 - Syms,595,471,1,1067
Precinct,HAMPTON CITY PROVISIONALS,1925,488,10,2423
Locality,Newport News City,50150,23929,144,74223
Precinct,101 - Denbigh,1895,607,5,2507
Precinct,102 - Stoney Run,2036,487,2,2525
Precinct,104 - Mcintosh,1312,387,5,1704
Precinct,106 - Reservoir,1256,351,9,1616
Precinct,107 - Richneck,2116,959,3,3078
Precinct,108 - Katherine Johnson,577,230,0,807
Precinct,109 - Windsor,942,425,0,1367
Precinct,110 - Greenwood,1813,635,3,2451
Precinct,111 - Stoneybrook,1813,762,3,2578
Precinct,112 - Knollwood Meadows,1765,1221,6,2992
Precinct,113 - Sanford,527,503,0,1030
Precinct,201 - Bland,376,133,1,510
Precinct,202 - Boulevard,905,810,4,1719
Precinct,203 - Charles,1687,1355,6,3048
Precinct,204 - Mariners' Museum,787,447,3,1237
Precinct,205 - Deep Creek,1139,1251,2,2392
Precinct,208 - Hidenwood,728,708,3,1439
Precinct,211 - Palmer,1524,709,3,2236
Precinct,212 - Riverside,608,576,2,1186
Precinct,216 - Yates,1311,846,8,2165
Precinct,217 - Riverview,1069,919,5,1993
Precinct,218 - Kiln Creek,2210,1195,7,3412
Precinct,219 - Deer Park,2036,694,8,2738
Precinct,220 -Jenkins,1528,832,4,2364
Precinct,302 - Briarfield,1059,266,2,1327
Precinct,303 - Carver,718,218,1,937
Precinct,304 - Chestnut,563,45,4,612
Precinct,305 - Downtown,339,91,2,432
Precinct,308 - Jefferson,482,27,1,510
Precinct,309 - Magruder,601,39,1,641
Precinct,310 - Marshall,722,42,0,764
Precinct,311 - Newmarket,1496,411,6,1913
Precinct,312 - Newsome Park,396,24,4,424
Precinct,313 - Reed,1187,52,0,1239
Precinct,314 - River,662,293,0,955
Precinct,315 - Sedgefield,845,607,4,1456
Precinct,316 - South Morrison,1142,521,3,1666
Precinct,317 - Washington,589,39,0,628
Precinct,318 - Wilson,621,72,1,694
Precinct,319 - Saunders,1550,947,2,2499
Precinct,320 - Watkins,1828,1432,4,3264
Precinct,321 - Hilton,1134,722,4,1860
Precinct,322 - Warwick,736,381,2,1119
Precinct,NEWPORT NEWS CITY PROVISIONALS,1520,658,11,2189
Locality,Norfolk City,61429,22874,206,84509
