,,Jennifer L. McClellan,"William J. ""Bill"" Moher III",Write-Ins,Total Votes Cast
,,Democratic,Republican,,
Congressional District,4,252885,121814,809,375508
Locality,Brunswick County,4215,3406,4,7625
Precinct,101 - Brodnax,196,166,1,363
Precinct,102 - Rock Store,238,369,1,608
Precinct,103 - Tillman,269,499,0,768
Precinct,201 - Dromgoole,102,127,0,229
Precinct,202 - Edgerton,493,178,0,671
Precinct,203 - Fitzhugh,336,256,0,592
Precinct,301 - Alberta,84,61,0,145
Precinct,302 - Danieltown,297,416,0,713
Precinct,303 - Elmore,171,191,2,364
Precinct,304 - Seymour,152,177,0,329
Precinct,401 - Sturgeon,623,471,0,1094
Precinct,402 - King's Store,249,106,0,355
Precinct,501 - Totaro,938,349,0,1287
Precinct,BRUNSWICK COUNTY PROVISIONALS,67,40,0,107
Locality,Charles City County,2420,1836,3,4259
Precinct,101 - Precinct 1-1,756,735,0,1491
Precinct,201 - Precinct 2-1,806,491,1,1298
Precinct,301 - Precinct 3-1,811,590,2,1403
Precinct,CHARLES CITY COUNTY PROVISIONALS,47,20,0,67
Locality,Chesterfield County,58781,40763,223,99767
Precinct,101 - Bellwood,866,695,3,1564
Precinct,102 - South Chester,1280,1164,5,2449
Precinct,103 - Enon,2029,1966,9,4004
Precinct,104 - North Chester,1477,1601,8,3086
Precinct,105 - Drewrys Bluff,1053,550,7,1610
Precinct,106 - Harrowgate,2049,1466,3,3518
Precinct,108 - Ecoff,2067,2194,6,4267
Precinct,109 - Elizabeth Scott,2254,1861,14,4129
Precinct,110 - Dutch Gap,920,835,3,1758
Precinct,111 - Iron Bridge,1109,1284,2,2395
Precinct,112 - Carver,1242,965,3,2210
Precinct,113 - Iron Bridge North,1477,978,5,2460
Precinct,115 - Cresthill,1595,1165,11,2771
Precinct,201 - Gates,309,469,1,779
Precinct,202 - Beulah,2132,910,11,3053
Precinct,203 - Bird,1538,910,6,2454
Precinct,205 - Falling Creek,1762,688,7,2457
Precinct,207 - Chippenham,2514,688,6,3208
Precinct,208 - Meadowbrook,1888,650,8,2546
Precinct,209 - Salem Church,1421,1177,3,2601
Precinct,210 - Five Forks,2701,1164,7,3872
Precinct,211 - Nash,1855,2363,9,4227
Precinct,213 - Southside,1194,332,1,1527
Precinct,218 - New Manchester,769,510,2,1281
Precinct,219 - Gates East,665,552,3,1220
Precinct,220 - Falling Creek East,208,94,1,303
Precinct,221 - Oxbridge,1865,1366,8,3239
Precinct,222 - Turner,1556,410,5,1971
Precinct,301 - Ettrick,1692,632,7,2331
Precinct,303 - Matoaca,1668,1700,8,3376
Precinct,305 - Beach,310,760,0,1070
Precinct,314 - Longhouse,531,1171,2,1704
Precinct,402 - Genito,1352,1134,5,2491
Precinct,404 - Providence,1558,908,3,2469
Precinct,405 - La Prade,1421,1188,6,2615
Precinct,408 - Reams,970,502,7,1479
Precinct,412 - Clover Hill,2,0,0,2
Precinct,414 - Crenshaw,2125,2032,9,4166
Precinct,513 - Beaufont,968,367,5,1340
Precinct,515 - Davis,1629,414,4,2047
Precinct,516 - Pocoshock North,591,248,3,842
Precinct,519 - Buford,168,69,1,238
Precinct,Chesterfield County Provisionals ,2001,631,6,2638
Locality,Colonial Heights City,3087,5458,10,8555
Precinct,001 - 1st,472,700,1,1173
Precinct,002 - 2nd,539,912,2,1453
Precinct,003 - 3rd,618,970,2,1590
Precinct,004 - 4th,772,1348,2,2122
Precinct,005 - 5th,591,1438,3,2032
Precinct,COLONIAL HEIGHTS CITY PROVISIONALS,95,90,0,185
Locality,Dinwiddie County,6055,9273,31,15359
Precinct,101 - White Oak,115,473,0,588
Precinct,102 - Rocky Run,268,733,1,1002
Precinct,103 - Church Road,248,1269,6,1523
Precinct,201 - Rohoic,470,330,2,802
Precinct,202 - Sutherland,805,1373,1,2179
Precinct,301 - Reams,184,456,1,641
Precinct,302 - New Hope,375,695,2,1072
Precinct,303 - Little Zion,706,927,4,1637
Precinct,401 - Dinwiddie,616,1023,4,1643
Precinct,402 - Mckenney,345,583,3,931
Precinct,403 - Cherry Hill,269,336,0,605
Precinct,501 - Edgehill,452,184,2,638
